id,username,created_at,sentiment,body
107115059,algosurfer,2018-01-01 22:26:30 EST-0500,,$AMZN $TSLA  block u come on man
107116190,Stockmarketinvesting,2018-01-01 22:47:03 EST-0500,Bullish,$TSLA https://www.youtube.com/watch?v=fEnP6VrvrEo
107117842,cperruna,2018-01-01 23:19:24 EST-0500,Bullish,Stock Trends for 2018!  $V $MA $SQ $FB $BABA $AMZN $GOOGL $AAPL $NFLX $SNAP $TSLA $NVDA $IMMU$WEED.CA http://www.chrisperruna.com/2018/01/01/stock-trends-for-2018/
107117854,Rizy,2018-01-01 23:19:39 EST-0500,,"@RJ1963 You 2,have a great new year! BTW I am bullish on this for Q1 then we’ll see, same with $IRBT.$TSLA not sure after the H&amp;S, thoughts?"
107118146,MariaC82,2018-01-01 23:25:56 EST-0500,,Tuesday’s Watch 2: $QQQ $SPY $UVXY $XRP.X $NEO.X $NVDA $NFLX $TSLA $WYNN $SMG $WATT $QIWI $TEUM $SFUN $STZ $XNET 😘
107119733,filimon,2018-01-01 23:58:44 EST-0500,,$TSLA 
107120521,antichartjunk,2018-01-02 00:14:36 EST-0500,,NEW POST: ACJ Wk 1 Members https://antichartjunk.com/2018/01/02/week-1-1-1-18/ $AAPL $FB $BABA $NFLX $PYPL $TSLA $AMZN $MA $TTWO $GOOGL $MFGP $SEND $GBTC + 25 more
107120807,antichartjunk,2018-01-02 00:21:34 EST-0500,,A few ACJ watchlist names with constructive weekly charts: $CORT $FB $FCAU $MRCY $JD $MA $MFGP $VRTX. $BABA $TSLA close
107122683,808Vinny,2018-01-02 01:13:09 EST-0500,Bullish,"$TSLA Whie F, BMW, Toyota, and GM are busy designing EV, Elon is redirecting his engineers to designing the Gigafactory staying 1 step ahead"
107122782,nanaka,2018-01-02 01:16:36 EST-0500,Bullish,"$TSLA  Model 3 deliveries for buyers are finally rolling out in higher volume.
Higher volume of model 3 production during  last two weeks."
107123183,jinkang,2018-01-02 01:31:21 EST-0500,,"$TSLA prep for the short term dip on vehicle report, then call it"
107124466,ChartMill,2018-01-02 02:25:06 EST-0500,,"$TSLA: When comparing the growth rate of the last 5 years to the growth rate of the upcoming 2 years, we see th ... https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=GROWTH&amp;utm_campaign=social_tracking#/TSLA?r=fa&amp;key=b3fb89e7-ce52-4df4-906a-b4ccaf80eec8"
